ID,Name,Position,Company,Industry,Location,Company Size,Category,Price Range,Timeline,Review Summary,Rating,Review Date,Data Source
956,Adrian de la Garza,Co-Founder,Doctu,Healthcare,Mexico,1-10 Employees,Web Development,"$50,000 to $199,999",July 2018 - Jan. 2019,"Axented used Ruby on Rails, Phantom, and Java to build mobile and web apps for a telemedicine company. The team developed both an Android and an iOS version of the mobile interface.",5,,Clutch
957,Benjamín Tamez Urrutia,Commercial Director Officer,Romina,Software,Mexico,1-10 Employees,"Mobile App Development, Recruiting, UX/UI Design",Confidential,Jan. - May 2025,"Axented provided mobile app UX/UI design, frontend development, backend development consulting, full stack developer hiring, and project management services for a data science and software development company.",4.5,,Clutch
958,Francisco Macedo,CEO,Kolonus,Software,Mexico,11-50 Employees,Recruiting,Confidential,Sep. - Oct. 2025,Axented provided recruitment services for a proptech and fintech superapp firm. The team described and outlined a new position to support general management and recruited and selected qualified personnel.,5,,Clutch
959,Carlos Guerrero,CEO,CraterLab,Consulting,Mexico,1-10 Employees,"Search Engine Optimization, Web Design, Web Development","Less than $10,000",May - June 2025,"Axented redesigned a website for a software development and SAP consulting company. The team also created content for the site, developed a blog, and implemented SEO tactics.",5,,Clutch
960,Monica Lenz,Health Coach & Owner,Moni Lenz Health Coach,Healthcare,Mexico,1-10 Employees,"Branding, UX/UI Design, Web Development",Confidential,Jan. - Nov. 2023,"Axented refreshed a functional medicine coaching company's brand; the team created the client's new brand image, user manual, and template. Axented also did UI/UX design and developed a website for the client.",5,,Clutch
961,Mauricio Jaime,CEO,Grupo Onesta,Other Industry,Mexico,51-200 Employees,"Branding, UX/UI Design, Web Development",Confidential,July 2023 - Feb. 2024,"An insurance broker hired Axented to provide branding, UI/UX design, and web development.",5,,Clutch
962,Cristina Dominguez,Global ERM & Security Advisor,Cemex,Construction,Mexico,"10,001+ Employees",Branding,"$50,000 to $199,999",Sep. - Nov. 2022,Axented provided branding services for a cement company. The team was responsible for creating a logo and a brand image for the client.,5,,Clutch
963,Sonia Cecilia Arrambide,Global Director of Org. Development CoE,Alpek Polyester,Chemicals & Biotechnology,Mexico,"1,001-5,000 Employees","Custom Software Development, Recruiting, UX/UI Design","$10,000 to $49,999",Jan. 2020 - May 2023,"Axented designed and developed a website for a petrochemical manufacturing company. Their work included UI/UX design, development, project management, and hand-off management.",5,,Clutch
964,Rutger Hertogh,IT Manager & Lead Developer,MyCademy,Education,Netherlands,11-50 Employees,"Custom Software Development, IT Staff Augmentation","$50,000 to $199,999",Mar. 2022 - Ongoing,An e-learning services company has hired Synergo Group to provide an Angular developer. This resource helps build a single-page application separate from the client’s existing backend.,5,,Clutch
965,Gwenn  Bjornstad Larsson,Co-Owner & Sommelier,SG Beverage Services,Food & Beverages,Denmark,1-10 Employees,Custom Software Development,"$10,000 to $49,999",May - Aug. 2021,Synergo Group handled custom software development services for a wine services provider. The vendor developed a storage and management system to help the client better maintain the quality of their wine.,5,,Clutch
966,Michael Greve,Founder & CEO,Rebel Cactus,Gaming,Netherlands,1-10 Employees,"Mobile App Development, UX/UI Design","$10,000 to $49,999",Nov. 2020 - Apr. 2021,"Synergo Group worked with a smartwatch company to develop their mobile apps. They built five gaming apps and one studio platform app on Unity, focusing on UI and front- and backend development.",5,,Clutch
967,Koen Claes,Director,ionProjects,IT Services,Belgium,1-10 Employees,Mobile App Development,"$10,000 to $49,999",Oct. 2018 - Jan. 2019,"Synergo Group provided iOS application development services, building a copy of an existing Android application.",4,,Clutch
968,Maximilian Seifert,CTO,Cosuno Ventures GmbH,Software,Germany,51-200 Employees,IT Staff Augmentation,"$10,000 to $49,999",Mar. - June 2022,"Relevant Software provided several dedicated full stack developers for a software company's new product launching. The team managed new user types, content translation, data migration, and deployment processes.",5,,Clutch
969,Julia Orlovska,CTO,Intended Future,Consulting,Sweden,1-10 Employees,Custom Software Development,"$10,000 to $49,999",Oct. - Nov. 2021,Relevant Software was tasked with developing software for an independent research firm. The vendor also wanted to create a business card site that describes their strengths and capabilities to attract users.,5,,Clutch
970,Oleksandr Storokha,Director of Technology Consulting,IT Services Company,Software,Ukraine,"501-1,000 Employees","Custom Software Development, Mobile App Development","$1,000,000 to $9,999,999",Oct. 2017 - Ongoing,"Relevant Software provides development support for an IT services company. They're currently helping the client on various software projects catering to different industries (e.g., aviation, healthcare, IoT).",5,,Clutch
971,Gus Colquhoun,Director,Splink Industries Ltd,Media,United Kingdom,1-10 Employees,Mobile App Development,"$50,000 to $199,999",Jan. 2020 - Ongoing,"An app-based learning company needed a partner that could provide full cycle of software development services. They hired Relevant Software to provide business analysis, project management, and DevOps.",5,,Clutch
972,Paul Carse,CTO,Life Moments Ltd,Advertising & marketing,United Kingdom,1-10 Employees,Custom Software Development,"$1,000,000 to $9,999,999",Apr. 2018 - Ongoing,Relevant Software developed a web application the guides people through the property purchasing process. They implemented appropriate technologies and introduced secure data storage procedures.,4.5,,Clutch
973,Christian Knutsvik,CEO,Webfy AS,Software,Norway,1-10 Employees,E-Commerce Development,"Less than $10,000",Nov. 2018 - Ongoing,"Relevant Software provides team augmentation to help develop a custom webshop platform. They’re assisting with the user and administrative components, including data import/export, authorization, and profiles.",5,,Clutch
974,Riley Ramone,CTO,Gofamer,Advertising & marketing,Finland,1-10 Employees,Web Development,"$10,000 to $49,999",July 2018 - Ongoing,"Relevant Software provides ongoing team augmentation, supporting frontend development and QA efforts for a social media analysis app. They’re currently building a customer-facing analytics dashboard.",5,,Clutch
975,Sondre Rennan Nesset,CEO,Sensor Innovation,Advertising & marketing,Norway,1-10 Employees,Web Development,"$50,000 to $199,999",July 2018 - Ongoing,Relevant Software designed and developed a web-based platform. Functionalities included real-time data monitoring and alerts. The team created wireframes and did QA testing.,5,,Clutch
976,James Withall,CTO,OnApp,Information technology,United Kingdom,51-200 Employees,Custom Software Development,"$10,000 to $49,999",Aug. 2017 - Jan. 2018,Relevant Software provided a PHP development resource to an architecture update project. The resource contributed to backend improvement efforts that involved rebuilding a large portion of the product.,5,,Clutch
977,Alexander Sagen,Head of Cloud & Web Software,Airthings AS,Other Industry,Norway,11-50 Employees,Web Development,"$50,000 to $199,999",May 2017 - Apr. 2018,"Assisting with the development of a new platform, Relevant Software worked alongside the internal team to manage frontend development and design.",5,,Clutch
978,Andrew Chemes,Host,Radio SKOVORODA,Media,Ukraine,1-10 Employees,Web Development,"$10,000 to $49,999",July - Sep. 2016,Relevant Software developed a website with an accompanying Chrome extension and embedded audio player.,5,,Clutch
979,Valerii Shypunov,CTO,Innocode AS,Information technology,Ukraine,11-50 Employees,Custom Software Development,"$50,000 to $199,999",Dec. 2015 - Ongoing,Relevant Software aided the client in serving a customer through providing the full front-end development of multiple web-based projects.,4,,Clutch
980,Ole Jorgen Naess,CTO,DirectInvent,Construction,Norway,1-10 Employees,Custom Software Development,"$50,000 to $199,999",May 2016 - Ongoing,"The client used Relevant Software to completely update their app on iOS and Android devices, as well as develop a new website.",5,,Clutch
981,Oleksandr Parshak,Engineering Manager,Dago Style,Manufacturing,Ukraine,201-500 Employees,Custom Software Development,"$10,000 to $49,999",May - Dec. 2020,Relevant Software was hired by a footwear manufacturer to develop a software prototype using AppSheet. The custom solution was designed to solve the problems within the client's manufacturing processes.,5,,Clutch
982,Alexandra Chacon,Marketing Manager,LINK Outsourcing,Business services,Costa Rica,11-50 Employees,"UX/UI Design, Web Design, Web Development","Less than $10,000",Jan. - June 2024,A back-office services company hired Unified Infotech to redesign their website. The goal was to make the site more professional and easy to update to generate more leads.,5,,Clutch
983,Alexandra Chacon,Marketing Manager,LINK Outsourcing,Business services,Costa Rica,11-50 Employees,"UX/UI Design, Web Design, Web Development","Less than $10,000",Jan. - June 2024,A back-office services company hired Unified Infotech to redesign their website. The goal was to make the site more professional and easy to update to generate more leads.,5,,Clutch
984,Husain Al-Asfoor,Founder & Owner,eBinaa,Construction,Oman,1-10 Employees,"E-Commerce Development, UX/UI Design, Web Development","$10,000 to $49,999",Dec. 2019 - Ongoing,"After designing the UI/UX, Unified Infotech used AngularJS and Node.js to develop an e-commerce website.",4.5,,Clutch
985,Shabani Yamba,Co-founder,Synapses Creatives,IT Services,South Africa,1-10 Employees,Custom Software Development,Confidential,Jan. 2016 - Ongoing,"Unified Infotech acts as an ongoing web and mobile development partner. They’ve worked with a variety of technologies including Laravel, Angular.js, and Node.js. Many of their projects require custom websites.",5,,Clutch
986,Timothy Barlow,Founder & MD,The Woodpicker,Energy & natural resources,United Kingdom,1-10 Employees,Custom Software Development,"$10,000 to $49,999",May 2017 - Ongoing,"Unified Infotech developed a website and iOS and Android applications for a digital startup. Further, they created a web-based software package with an API drawing data from each external platform.",4.5,,Clutch
987,Chris Rennie,Co-founder,Houselab Media,Software,Australia,1-10 Employees,Web Development,"$50,000 to $199,999",Mar. 2018 - Ongoing,"Unified Infotech Inc has added new functionalities and updated designs for a Laravel-based platform. Features for the document storage system include messaging, reminders, and a calendar.",5,,Clutch
988,Fabien Mahieu,Founder,Next Gen Recruitment UK,Business services,United Kingdom,1-10 Employees,Mobile App Development,"$50,000 to $199,999",July 2018 - Ongoing,"Unified Infotech is developing a hybrid mobile app after designing the platform. Additionally, they’re completing a website and are managing the backend, cloud services, and security.",5,,Clutch
989,Cecil Usher,CEO,Music Plug LLC,"Arts, entertainment & music",District of Columbia,1-10 Employees,Mobile App Development,Confidential,Oct. 2017 - July 2018,Unified Infotech Inc developed and designed a mobile app for iOS and Android. Key features include individual portfolios for artists to house their songs and videos.,5,,Clutch
990,Sebtain Nasser,Managing Partner,Urban Hospitality & Services WLL,Hospitality & leisure,Qatar,51-200 Employees,"Branding, Web Design","$10,000 to $49,999",June 2024 - Ongoing,Unified Infotech has assisted a hospitality and soft services company in rebranding and redesigning their website.,4.5,,Clutch
991,"Abdulrahman Qumsani, GSP",Founder,Fintech Company,Financial services,Saudi Arabia,1-10 Employees,Mobile App Development,"$50,000 to $199,999",Mar. 2020 - Ongoing,Unified Infotech provides mobile application development for a fintech company that specialized in savings and investments.,4.5,,Clutch
992,Ryan Reyes,CEO,ADR Technology Pty Ltd,Software,Australia,1-10 Employees,"Custom Software Development, UX/UI Design, Web Development","$50,000 to $199,999",Mar. 2024 - Ongoing,"Mitrais provides custom software development support for a software company. Their work focuses on helping the client enhance their technology stack, streamline operations, and deliver new features faster.",5,,Clutch
993,Francisco Julio Rey Rivera,QA Specialist & Outsourcing Manager,Gameforge 4D GmbH,Gaming,Germany,201-500 Employees,"Custom Software Development, Web Development",Confidential,Feb. - May 2024,"Limestone Digital developed a game update for a video game developer's browser game. They added new game elements, built game mechanics, implemented monetization features, and enhanced the admin control panel.",5,,Clutch
994,Ryan Kotzen,Technical Lead,Synatic,Software,South Africa,11-50 Employees,"Custom Software Development, Web Development",Confidential,Apr. - Aug. 2023,An IT services company hired Limestone Digital to develop a website that will assist with labeling PDF pages and images for an OCR system. The team updated the client's open-source code.,5,,Clutch
995,Jurij Koschelnik,Senior Scientist,Ingenetix,Chemicals & Biotechnology,Austria,11-50 Employees,Custom Software Development,"$50,000 to $199,999",Dec. 2019 - Ongoing,Limestone Digital was hired by a biotechnology firm to build a new software. The team designed the UI and developed the database. Key technologies included React and Microsoft SQL.,5,,Clutch
996,Ksenia Anufrieva,Lead Trader,Chrono 10:10,Consumer Products,Czech Republic,1-10 Employees,Custom Software Development,"$1,000,000 to $9,999,999",Jan. 2019 - Ongoing,Limestone Digital develops custom software for a watch trading company. The team built a .NET platform hosted on Azure for the client and continues to provide maintenance and support services.,5,,Clutch
997,Karel Zheng,Founder,Accomango,IT Services,Czech Republic,11-50 Employees,Web Development,"$50,000 to $199,999",June 2020 - Ongoing,Limestone Digital collaborated with a software company's back-end developers to build their MVP.  The goal is to create the project based on the back-end solution using React and Tailwind UI Template.,5,,Clutch
998,Emil Tetzner-Harris,CEO,Visual Art Marketplace,"Arts, entertainment & music",United Kingdom,1-10 Employees,Web Development,"Less than $10,000",Mar. - June 2020,Limestone Digital helped develop the MVP of an online visual arts marketplace. The team was responsible for taking the client's mockups and designs and implementing a scalable product using React and Python.,5,,Clutch
999,Ruan Groenewald,Development Manager,Research IP Design LTD,Information technology,United Kingdom,1-10 Employees,Web Development,"$10,000 to $49,999",Aug. - Oct. 2019,Limestone Digital provided outsourced development on a frontend media planning portal. Their team used Vue.js and TypeScript to craft the project. They worked remotely.,5,,Clutch
1000,Jozef Bacigál,Scrum Master,GAMO a.s.,Information technology,Slovakia,51-200 Employees,Custom Software Development,"$200,000 to $999,999",May - Dec. 2019,Limestone Digital worked together with a software development company in agile scrums to accelerate the production of a custom email client for a third-party customer.,4.5,,Clutch
1001,Jurij Koschelnik,Head of R&D,VWMS GmbH,Engineering,Austria,11-50 Employees,IoT Development,"$10,000 to $49,999",Apr. 2018 - Ongoing,"Using provided technical documents, Limestone Digital developed new features for an existing web-based IoT platform that monitors microbial water contamination.",5,,Clutch
1002,Jacques Bezuidenhout,Development Manager,Chase Software,Information technology,South Africa,51-200 Employees,IT Staff Augmentation,Confidential,Aug. 2019 - Ongoing,"Limestone Digital provides staff augmentation services for an advertising management software company. The team provides frontend development and planning services, utilizing Vue.js and TypeScript for projects.",5,,Clutch
1003,Vlastimil Dolejš,CTO,Diribet,Manufacturing,Czech Republic,11-50 Employees,Custom Software Development,"$50,000 to $199,999",Jan. 2018 - Ongoing,Limestone Digital has designed and developed a SaaS application.,5,,Clutch
1004,Radek Masnica,Managing Director,ST Software,IT Services,Czech Republic,11-50 Employees,Web Development,"$10,000 to $49,999",Oct. 2017 - Feb. 2018,Limestone built a custom turnkey solution for managing ceremony presenters during sports events.,4,,Clutch
1005,Myles Anderson,CEO,brentabl,Other Industry,District of Columbia,1-10 Employees,Mobile App Development,"Less than $10,000",Sep. - Nov. 2021,Goldfish Code was hired to help with the development of a construction firm's mobile app. They applied the necessary modifications based on the client's requirements and deployed the app on the App Store.,5,,Clutch
1006,Mel Hurril,Head of Compliance,LHi Group Ltd,Other industries,United Kingdom,201-500 Employees,"Back Office Outsourcing, PEO/Employee Leasing","Less than $10,000",June - Aug. 2023,"An HR company hired Remote Team Solutions for outsourcing and recruitment. Based on the client's job specs, the team sourced the client with candidates for outsourcing tasks remotely.",5,,Clutch
1007,Toka AbdelKader,HR Manager,Intouch.com,Other industries,Ireland,11-50 Employees,HR Consulting,"Less than $10,000",June - Aug. 2022,Remote Team Solutions aided a retail tech software company's local recruitment needs. They filled a staffing gap and provided all necessary legal paperwork up to onboarding to support the client's requirements.,5,,Clutch
1008,Luis A. Arratia Díaz,CEO,Zesati Internacional,Business services,Mexico,51-200 Employees,HR Consulting,"$50,000 to $199,999",Jan. 2022 - Ongoing,Remote Team Solutions provides recruitment services for an HR consulting firm. They are tasked with building a remote team specialized in Mexican Labor Law to keep the company operations running.,5,,Clutch
1009,Yehia Badawy,CEO,Digital Cotton,Consulting,Egypt,11-50 Employees,"Mobile App Development, UX/UI Design",Confidential,Nov. 2022 - Ongoing,"TrianglZ has developed an Android mobile app for a business and tech consultancy. The team conducted market and user analysis, created a prototype, and crafted UI/UX wireframes.",5,,Clutch
1010,Mohamed El Dallal,CEO,Techne,Advertising & marketing,Egypt,11-50 Employees,Mobile App Development,"$50,000 to $199,999",Aug. - Nov. 2022,TrevanglZ was hired to develop a mobile app for a tech startup support platform. They built features that connect entrepreneurship ecosystems using AI tools. They also designed the UI/UX.,5,,Clutch
1011,Mostafa Hamouda,CEO,DIGI360,Beauty & Cosmetics,United Kingdom,51-200 Employees,Mobile App Development,"$50,000 to $199,999",Sep. 2018 - Dec. 2020,TrianglZ developed a medical platform for a health technology company. The platform featured pharmacy locations and medication delivery services. Around eight people worked with the client on this project.,5,,Clutch
1012,Rada Hrout,Founder & CEO,NFormacy,Software,Jordan,1-10 Employees,"IT Staff Augmentation, UX/UI Design","$50,000 to $199,999",Jan. 2022 - Ongoing,"A SaaS startup was looking to supplement their UI/UX design and development efforts, so they engaged with TrianglZ to provide them with staff augmentation services and technical expertise.",5,,Clutch
1013,Fahad Alfaheid,Founder & CEO,Tiro,IT Services,Saudi Arabia,1-10 Employees,Mobile App Development,"$50,000 to $199,999",Dec. 2019 - Ongoing,TriangIZ provides cross-platform mobile app development services for a food services company. The team is building an on-demand food pickup app that allows users to choose dishes and book tables in advance.,5,,Clutch
1014,Malik Basalamah,General Manager,First City,IT Services,Saudi Arabia,1-10 Employees,"Custom Software Development, Mobile App Development, UX/UI Design",Confidential,July 2023 - Ongoing,"TrianglZ provides custom software development and consultancy for an IT startup. The team has built a crowd management app, data entry interfaces, scheduling algorithms, and interactive data dashboards.",5,,Clutch
1015,Yasmeen Gamal,CEO,islamnetwork,Education,Egypt,11-50 Employees,Custom Software Development,"Less than $10,000",May 2022 - Ongoing,TrianglZ has developed a website for an online teaching platform. They've also integrated all the features requested by the client.,5,,Clutch
1016,Saeed Alshaikhi,General Manager,New Chapter,Information technology,Saudi Arabia,11-50 Employees,"Custom Software Development, Mobile App Development, Web Development","$50,000 to $199,999",Jan. - Aug. 2023,"TrianglZ developed a crowd management app for a tech solutions company's end client. The app's features included event creation, candidate acceptance, teammate assignments, check-in, and attendance tracking.",5,,Clutch
1017,Saud AlQaoud,CEO,Accounting & Advisory Services Co,Consulting,Kuwait,11-50 Employees,"Custom Software Development, Mobile App Development, Web Development",Confidential,Dec. 2022 - Ongoing,TrianglZ has developed an accounting management software for an accounting and advisory services company. The team has integrated AI features into the platform.,5,,Clutch
1018,Helal Ismail,Former Head of Engineering,Careem,Software,United Arab Emirates,"5,001-10,000 Employees","Custom Software Development, IT Staff Augmentation","$200,000 to $999,999",Oct. 2018 - June 2019,"TrianglZ augmented the engineering team of a super app provider. They helped the client develop a customer-facing mobile app, an internal web app, and an infrastructure to support them.",5,,Clutch
1019,Waleed Zohdy,Head of Delivery,nformacy,Consulting,Jordan,1-10 Employees,Cloud Consulting & SI,"$10,000 to $49,999",Jan. 2021 - Ongoing,"A software firm has hired TrianglZ to aid in the development of their cloud-based platform. They have provided the infrastructure, the tools, and the interface, as well as quality assurance support.",5,,Clutch
1020,Mohammad Omara,CEO & CTO,HOOPOE DIGITAL LLC,Telecommunications,Egypt,1-10 Employees,"UX/UI Design, Web Design, Web Development","$10,000 to $49,999",Jan. - Mar. 2019,"TrianglZ built a website for a smart Wi-Fi services provider. Their scope of work included wireframing, copywriting, and web development.",5,,Clutch
1021,Mohamed Hassan,Co-Founder,Genio technology Group,Financial services,United Kingdom,1-10 Employees,Web Development,"$50,000 to $199,999",Feb. 2021 - Jan. 2022,"TrianglZ developed a crowd investment platform for a fintech company. The platform was available on the web and as a mobile app. Around eight teammates worked on this project, including the project manager.",5,,Clutch
1022,Amir Negm,CEO,Neu Ocean Technologies Ltd,IT Services,United Kingdom,51-200 Employees,"BI & Big Data Consulting & SI, Custom Software Development","$10,000 to $49,999",May 2021 - Ongoing,A business intelligence solution provider partners with TrianglZ to develop a business intelligence platform with special features that will push the limits of business automation.,5,,Clutch
1023,Amir Rushdy,Transformation Consultant,Al Nabouda Automotives,Automotive,United Arab Emirates,201-500 Employees,"Custom Software Development, Mobile App Development","$10,000 to $49,999",May - June 2021,"TrianglZ developed a mobile app for an automotive company. They designed the app's frontend, wrote the software's code, deployed it into the company's system, and integrated it with their CRM.",5,,Clutch
1024,Ahmed El-Sharkasy,CEO,Employment Company,Education,United Kingdom,11-50 Employees,Custom Software Development,"$10,000 to $49,999",Oct. 2017 - Dec. 2018,"TrianglZ helped an employment company develop an MVP mobile app by supporting the backend, QA, and API.",5,,Clutch
1025,Alexander Gonzalez,CIO & Board Member,MAYCAR,Retail,Argentina,"1,001-5,000 Employees",Custom Software Development,"$200,000 to $999,999",Sep. 2021 - Ongoing,"Huenei IT Services augments the team of a retail firm to assist them in various development projects, including creating new applications, changing data structures, enhancing a POS system, and integrating CRM.",4.5,,Clutch
1026,Manjinder Gahir,CTO,Asset Management Company,Financial services,United Kingdom,11-50 Employees,Custom Software Development,"$50,000 to $199,999",Oct. 2021 - May 2022,"An asset management firm hired Huenei IT Services for custom software development services for their new product. They used client-provided UX designs and user stories for development in .NET, SQL, and Blazor.",5,,Clutch
1027,Kristian Knowles,Managing Director,Octavo Gate Limited,IT Services,United Kingdom,1-10 Employees,Custom Software Development,"$10,000 to $49,999",May 2021 - Ongoing,"Huenei IT Services provides ongoing development using an ASP.NET language, a .NET48 framework, and a WebForm client script for a software architecture firm. They've converted a legacy application to this.",4.5,,Clutch
1028,Francisco Zeisel,Development Manager,Experta,Financial services,Argentina,201-500 Employees,IT Staff Augmentation,"$200,000 to $999,999",Jan. 2018 - Ongoing,"Huenei IT Services provides ongoing staff augmentation for a range of projects. They support the main product offering, helping out with PHP and PowerBuilder-related tasks.",4,,Clutch
1029,Federico Buzzoni,IT Manager,Aeropuertos Argentina 2000 S.A.,Transportation,Argentina,"1,001-5,000 Employees",Custom Software Development,Confidential,Jan. 2017 - Ongoing,"Huenei IT assists with the development and maintenance of core airport management systems. Key technologies used are .NET, JavaScript, and Oracle. They also help with mobile app development.",4,,Clutch
1030,Carlos Urrea,Software Development Manager,NEC Argentina,IT Services,Argentina,201-500 Employees,Custom Software Development,"$50,000 to $199,999",N/A,"Primarily using .NET, Heunei IT Solutions built a custom security app. The project included UI/UX design, systems integration, back-end development, and module customization.",5,,Clutch
1031,Florentin Viebke,Managing Director,Zwei-Liter-Maschine GmbH,Information technology,Germany,1-10 Employees,Web Development,"$10,000 to $49,999",Jan. - Oct. 2025,"Bits Orchestra provided technical support and feature development for a coffee enterprise's websites built on the Kentico 12 platform. Their work included bug fixing, UX design, and performance optimization.",5,,Clutch
1032,Andrew Risbey,Founder,TimeOutdoors,Media,United Kingdom,1-10 Employees,Web Development,Confidential,Oct. 2021 - Ongoing,Bits Orchestra developed a website for an online lifestyle community. The team built the site using Kentico 13 Core and was responsible for providing UI/UX design and development.,5,,Clutch
1033,Ewen Donaldson,Managing Director,Vivad,Manufacturing,Australia,11-50 Employees,"Custom Software Development, UX/UI Design, Web Design, Web Development",Confidential,Jan. 2022 - Ongoing,"Bits Orchestra has been hired by a digital printing company to develop and maintain their website. Using a Kentico CMS for the framework and React for the UI, they've built a customized web-to-print portal.",5,,Clutch
1034,Abid Ali,Managing Director,Bloom Consulting,Consulting,Australia,11-50 Employees,Custom Software Development,"$50,000 to $199,999",Jan. 2022 - Ongoing,"A business solutions company has hired Bits Orchestra for IT staff augmentation. The team provides full stack development resources for platform design, research, coding, testing, QA, and bug fixes.",5,,Clutch
1035,Igor Goldobin,Solution Architect,SpendConsole,Financial services,Australia,11-50 Employees,Custom Software Development,"$50,000 to $199,999",Feb. 2022 - Feb. 2023,"Bits Orchestra was hired by a SaaS company to develop their software. They used ASP.NET CoreZero, Angular, SQL, and Microsoft Azure to build the solution from scratch.",5,,Clutch
1036,Paul Nicklin,CTO,Inni Ltd,Financial services,United Kingdom,11-50 Employees,Custom Software Development,"$10,000 to $49,999",June - Dec. 2022,Bits Orchestra augmented the staff of a software dev company. They worked on vertical slices and updated the API.,5,,Clutch
1037,Stephen E.,CTO,Online Manufacturing Company,Manufacturing,Australia,11-50 Employees,Custom Software Development,"$50,000 to $199,999",Oct. 2021 - Ongoing,"An online manufacturing company has engaged with Bits Orchestra for CMS development and UX projects. The team handles the whole process, from development, testing, and deployment to live installations.",5,,Clutch
1038,Constantinos Tsiartas,Managing Director,Jenus Technologies Limited,Software,Cyprus,1-10 Employees,Web Development,"$10,000 to $49,999",Apr. - Oct. 2019,Bits Orchestra developed a website for a software services company. The vendor created the platform's infrastructure and used key technologies like Kentico CMS.,5,,Clutch
1039,Daniel Jones,Head of Website,Car Leasing Company,Automotive,United Kingdom,201-500 Employees,"Web Design, Web Development",Confidential,Jan. 2023 - Ongoing,"Monterail provided web development services for a car leasing company. The team delivered a series of improvements to enhance the site's user journey, overall UX, load times, functionality, and performance.",5,,Clutch
1040,Łukasz Klimkiewicz,Head of IT,Abriga Sp. z o. o.,Beauty & Cosmetics,Poland,11-50 Employees,"Mobile App Development, UX/UI Design",Confidential,Jan. 2021 - Feb. 2023,"Monterail developed a mobile e-commerce app for a cosmetics manufacturer. The team designed the app's UX/UI, integrated it with the client's existing online store, and provided post-launch support.",4.5,,Clutch
1041,Maciej Jakubowiak,Deputy Editor-In-Chief,Dwutygodnik,Media,Poland,1-10 Employees,"Custom Software Development, Web Design, Web Development","$50,000 to $199,999",Oct. - Dec. 2024,"Monterail redesigned and redeveloped a website for a cultural magazine. The team was responsible for developing the front- and backend, building a custom CMS, and implementing AI functions into the site.",5,,Clutch
1042,Helge Plehn,CTO,Restaurant Chain,Food & Beverages,Germany,11-50 Employees,IT Staff Augmentation,"$50,000 to $199,999",Apr. 2022 - Ongoing,Monterail provides frontend developers for a restaurant chain's development team. They are tasked with fixing bugs and improving the UI/UX of the company's mobile application.,5,,Clutch
1043,Paul David Simpson,Director,Humatica,Consulting,Switzerland,11-50 Employees,Web Development,"$50,000 to $199,999",Jan. 2022 - Ongoing,"Monterail is tasked with various development services for an international management consultancy. The tasks include running a design workshop, designing key online platforms, and holding activity surveys.",5,,Clutch
1044,Jafrul Ahsan,Software Engineer,Celloscope Ltd.,IT Services,Bangladesh,51-200 Employees,Custom Software Development,"Less than $10,000",Mar. - May 2021,"Monterail developed an HR management tool for the mobile banking sector, building the solution with Java Spring Boot Framework and Angular Typescript.",5,,Clutch
1045,Jason Lau,Product Manager,Easyship,Logistics & Supply Chain,Hong Kong,51-200 Employees,"Custom Software Development, Mobile App Development, UX/UI Design","$50,000 to $199,999",Jan. 2021 - Feb. 2022,"Monterail built a mobile app for a logistics platform. Its features included languages and accommodation in different time zones, calendars, and holiday schedules. The team worked with the internal backend.",5,,Clutch
1046,Richard Larcome,CTO,Learn Amp,Business services,United Kingdom,11-50 Employees,IT Staff Augmentation,Confidential,Jan. 2020 - Ongoing,Monterail is providing software development support for an employee experience platform. They have assigned full-stack developers to work as an extension of the client's core development team.,5,,Clutch
1047,Matthias Depenbusch,Co-Founder & CEO,AVISIO,Hospitality & leisure,Austria,11-50 Employees,Web Development,"$200,000 to $999,999",Dec. 2020 - Ongoing,Monterail was hired to develop an MVP website for a hospitality startup. The team is developing a web app with features such as order creation and inventory management.,5,,Clutch
1048,Emil Kampp,Program Manager,Systems Engineering A/S,Advertising & marketing,Denmark,1-10 Employees,Web Development,"$1,000,000 to $9,999,999",Jan. 2020 - Ongoing,Monterail partnered with a consultancy company to provide web development services. They are tasked with building a large array of microservices and implementing graph databases for the client.,4.5,,Clutch
1049,Alexander Strobbe,VP Product,Headminer,IT Services,Belgium,1-10 Employees,Custom Software Development,"$50,000 to $199,999",Oct. 2019 - Ongoing,"Monterail provided development services for a workforce exchange platform. Working in Vue.js, the team built out the front-end of the product.",4.5,,Clutch
1050,Ashley Friedlein,CEO & Founder,Guild,Information technology,United Kingdom,1-10 Employees,Mobile App Development,"$200,000 to $999,999",Sep. 2017 - Ongoing,Monterail provided mobile and web app development. They also built a marketing website.,5,,Clutch
1051,David Tyler,Principal Consultant,Brodick Consulting,Utilities,United Kingdom,1-10 Employees,Custom Software Development,"$10,000 to $49,999",Sep. 2017 - Jan. 2018,"Monterail developed custom software for a water and energy utilities consulting company. The team built a prototype, creating mockups and data maintenance functionality.",5,,Clutch
1052,Phillipa Hicks,Cofounder,Seat Unique,"Arts, entertainment & music",United Kingdom,1-10 Employees,Custom Software Development,"$200,000 to $999,999",July 2018 - Ongoing,"Monterail is developing an online marketplace for an event hospitality and VIP package retail platform. They are using Ruby on Rails, Elixir, and React to build an infrastructure that can handle high traffic.",5,,Clutch
